gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGTRAP,702.573579119722,0.10454655502039141,0.15997777356386975,0.6535067509153207,0.5134296386478331,0.6852638537065698
C1orf167,0.4551045340463813,1.8549760862938414,3.767844980280331,0.49231751730821727,0.6224948985043466,NA
MTHFR,234.88377687805732,0.2878512328739653,0.21499682432618125,1.3388627193732563,0.1806153681572985,0.33117536334256376
CLCN6,304.44354754654074,-0.6842279746465347,0.16020055523754806,-4.271071180945348,1.9453629867376475e-5,1.696169127083295e-4
NPPA,1.7040169540365038,-0.802262836408989,1.9439853537316878,-0.41268975348448983,0.6798339329816037,NA
NPPB,0.7213037619676702,0,2.612636316088835,0,1,NA
RNU5E-4P,0.3263573948247288,-0.10621828590515,4.140922274159352,-0.02565087651318289,0.9795358058126742,NA
KIAA2013,1963.7086063657878,0.15836049766898447,0.09501429746659858,1.6667017690117076,0.09557372098821637,0.20518057339359286
PLOD1,5372.101950489168,0.6109265148047209,0.12472054877130496,4.898362946790366,9.66384080190217e-7,1.249560911851398e-5
MFN2,2600.9405095191596,-0.41431449104282375,0.1733061953539365,-2.3906502026467398,0.016818568108684928,0.052959856421756685
MIIP,506.33061248369035,0.2870723108710274,0.1663156228269851,1.7260694214497405,0.084334924259935,0.1864219884135153
TNFRSF8,1.2883785889288417,0.6644513684938319,1.881350487637989,0.35317787560575276,0.7239550932077699,NA
TNFRSF1B,453.98143304296497,-0.9562568249883548,1.681939209151291,-0.5685442254901016,0.5696654845772416,0.7284361105750615
MIR4632,0.0834906841839828,0,4.407356323966969,0,1,NA
RPL10P17,0.1667844859123447,0,4.4073563239577,0,1,NA
VPS13D,636.6237171935475,-0.8393883190051871,0.25814723279552326,-3.2515875142851565,0.0011476243926126066,0.005636555721597963
SNORA59B,1.7306251683044338,-1.8176237376503181,1.6660334480793495,-1.09098874320064,0.27527783585354254,NA
LINC02766,0.10991665971394493,-0.9562059968155894,4.407356323966969,-0.21695681640619618,0.8282419988572816,NA
DHRS3,306.3908404851874,0.09412275122221862,0.22448279755579792,0.41928714470347456,0.6750062904791679,0.805080613664892
RNU6ATAC18P,0.07269390566400911,-0.9562059968155892,4.407356323966969,-0.21695681640619613,0.8282419988572817,NA
CFAP107,0.16548444237894375,1.9248379825323267,4.362902930425437,0.4411828576586349,0.6590806223839788,NA
PRAMEF1,0.0834906841839828,0,4.407356323966969,0,1,NA
HNRNPCL1,1.2685590897709271,0.45591863105954034,1.4545294097159058,0.3134475164366659,0.7539406887613268,NA
PRAMEF27,0.08321081208239692,0,4.407356323966969,0,1,NA
PRAMEF35P,0.0834906841839828,0,4.407356323966969,0,1,NA
HNRNPCL2,0.06070309556414624,-0.9562059968155896,4.407356323966969,-0.21695681640619624,0.8282419988572816,NA
PRAMEF33,0.08321081208239692,0,4.407356323966969,0,1,NA
PRAMEF19,0.09934890067188774,0,4.407356323966969,0,1,NA
PDPN,0.08321081208239692,0,4.407356323966969,0,1,NA
PRDM2,508.84549132805375,-0.6419185129539471,0.16614103448021833,-3.8636963767694454,1.1168402878256459e-4,7.652761024815474e-4
KAZN,1072.578291655683,0.6453706730596794,0.10743689346555525,6.006974440922272,1.890172993892088e-9,4.6208955860326517e-8
KAZN-AS1,0.21613922241762723,-0.7446368716091369,4.375714005746457,-0.17017494073681094,0.8648725586481197,NA
TMEM51-AS1,12.583610423423949,-0.4914133547711655,0.4729636176638831,-1.039008787184121,0.29880064956622987,0.4734313272579544
TMEM51,468.59515168472217,0.6496529774787737,0.1464485202313744,4.436050131830525,9.162451893664898e-6,8.88547471269569e-5
TMEM51-AS2,0.8849328869924105,-0.6989143965270298,2.547978662322071,-0.27430151078662574,0.7838529235839492,NA
FHAD1,3.359448309364296,2.0493832374965177,1.1625878518645298,1.7627770961220413,0.07793809181598013,NA
LOC124903852,1.1876847868249574,0.48279540678732047,2.0952076270995983,0.2304284313128697,0.8177588705044648,NA
EFHD2,1130.388233101616,0.9880348360724338,0.12435470770684372,7.945294989568445,1.9372920522266696e-15,1.5504454182188807e-13
CTRC,1.5786036908257255,0.919611673595164,1.475134980517403,0.6234084919283865,0.5330161189877833,NA
CELA2A,0.07269390566400911,-0.9562059968155892,4.407356323966969,-0.21695681640619613,0.8282419988572817,NA
CELA2B,0.6352148649545382,-2.498767426099337,2.9120241820188864,-0.8580860837381367,0.39084493109085516,NA
CASP9,167.65688113775212,0.03910816723579428,0.17872710988129273,0.21881497027378335,0.8267941848617587,0.9176142161161889
DNAJC16,493.4552159230198,0.35373492515785365,0.16603750400061576,2.1304519559420854,0.0331343182646014,0.09040740059779812
SCARNA21B,0.08448857569644126,0,4.407356323966969,0,1,NA
AGMAT,17.356910544889324,-0.36053655591352973,0.5260833142403255,-0.6853221650531751,0.4931406479952238,0.6672031936484895
DDI2,770.1365015242372,-0.23602228689581486,0.20027178913749744,-1.178509903528014,0.23859338649427803,0.40509725714961947
PLEKHM2,2094.0460236797235,-0.02284085415569261,0.10642089747418944,-0.21462752803068838,0.8300577297887525,0.9194246166660502
SLC25A34,15.216810653286528,-0.1584508950645165,0.509593535071616,-0.31093584231253746,0.755849395858393,0.8657310871815851
